repo_full_name,path,html_url
pahartrahar228/demo-deployment,hpa.yml,https://github.com/pahartrahar228/demo-deployment/blob/fc48e174a4bed4a3e610df1202777555c4a26641/hpa.yml
hxwxdmhd/NoxGuard---NoxPanel,k8s/hpa.yaml,https://github.com/hxwxdmhd/NoxGuard---NoxPanel/blob/0d0f4565c4256a9c2e00f26785642541c2d26395/k8s/hpa.yaml
Shreekar11/kubernetes-hpa,hpa.yml,https://github.com/Shreekar11/kubernetes-hpa/blob/95ff844ba812536e290c11f622e28a21a3eeccb1/hpa.yml
prakarsh-dt/devtron,scripts/devtron-reference-helm-charts/reference-chart_3-8-0/templates/hpa.yaml,https://github.com/prakarsh-dt/devtron/blob/f2e8b6c9c28c5e5393bca27db5631dec4c51b74d/scripts/devtron-reference-helm-charts/reference-chart_3-8-0/templates/hpa.yaml
prakarsh-dt/devtron,scripts/devtron-reference-helm-charts/reference-chart_3-0-0/templates/hpa.yaml,https://github.com/prakarsh-dt/devtron/blob/f2e8b6c9c28c5e5393bca27db5631dec4c51b74d/scripts/devtron-reference-helm-charts/reference-chart_3-0-0/templates/hpa.yaml
rvnk76/devtron-labs-devtron,scripts/devtron-reference-helm-charts/reference-chart_3-8-0/templates/hpa.yaml,https://github.com/rvnk76/devtron-labs-devtron/blob/5283e1c712c4a555c993a64247ecc058530ca1bf/scripts/devtron-reference-helm-charts/reference-chart_3-8-0/templates/hpa.yaml
go-benchmark1/devtron,scripts/devtron-reference-helm-charts/reference-chart_3-8-0/templates/hpa.yaml,https://github.com/go-benchmark1/devtron/blob/0994ebc19d61dce9662289692a1c736cff3d4ee3/scripts/devtron-reference-helm-charts/reference-chart_3-8-0/templates/hpa.yaml
moleculerjs/docker-demo,argocd/k8s.yaml,https://github.com/moleculerjs/docker-demo/blob/8625730163e1a6661759c49f9124ad89b4b9408a/argocd/k8s.yaml
marceloserpa/k8s_sandbox,serverless_kubeless/kubeless-v1.0.4.yaml,https://github.com/marceloserpa/k8s_sandbox/blob/416984e5dcf95142e11decba66d67210db0c150e/serverless_kubeless/kubeless-v1.0.4.yaml
heejinis/1st-Project,yaml/sign.yaml,https://github.com/heejinis/1st-Project/blob/e353caacbf15ba8ffaae28e33dbddeabc7d664e7/yaml/sign.yaml
nirmata-add-ons/istio,kiali.yaml,https://github.com/nirmata-add-ons/istio/blob/102452be8a180b98efbcd146609f33874058848a/kiali.yaml
bLakshmankumar/K8S-Manifests,HPA_DOC.yml,https://github.com/bLakshmankumar/K8S-Manifests/blob/e46c2082380623643a61d225374dc74a9a595d6b/HPA_DOC.yml
fabriziomachado/desafio-k8s-gcp,go-hpa/hpa.yml,https://github.com/fabriziomachado/desafio-k8s-gcp/blob/d052bf825847a0edf5c0d1471d5eac76104fd698/go-hpa/hpa.yml
andre-luiz1997/postech-ms-aplicacao-infra,hpa.yaml,https://github.com/andre-luiz1997/postech-ms-aplicacao-infra/blob/ae8473374eeff86d68c05f2231024b37dd4654ed/hpa.yaml
