repo_full_name,Owner,Project,File Path,apiVersion,Is Helm Template,Has Behavior,raw_length,Metric Type,Metric Name,HPAClass
ruslanbaba/Zero-Downtime-OpenStack-Upgrades-with-Blue-Green-Control-Plane,ruslanbaba,Zero-Downtime-OpenStack-Upgrades-with-Blue-Green-Control-Plane,kubernetes/keystone-green.yaml,autoscaling/v2,False,False,2592,Resource,memory,UNKNOWN
nagcloudlab/docker-k8s-batch6,nagcloudlab,docker-k8s-batch6,2-k8s-lab/7-auto-scaling/HPA/nginx-hpa.yaml,autoscaling/v2,False,False,347,Resource,cpu,UNKNOWN
nagcloudlab/java-devsecops-batch2,nagcloudlab,java-devsecops-batch2,docker-k8s/2-k8s-lab/7-auto-scaling/hpa/nginx-hpa.yaml,autoscaling/v2,False,False,347,Resource,cpu,UNKNOWN
kakashi3lite/AI-News,kakashi3lite,AI-News,mlops/kubernetes/services.yaml,autoscaling/v2,False,False,8121,Resource,cpu,LARGE_YAML
kakashi3lite/AI-News,kakashi3lite,AI-News,mlops/kubernetes/services.yaml,autoscaling/v2,False,False,8121,Resource,memory,LARGE_YAML
kakashi3lite/AI-News,kakashi3lite,AI-News,mlops/kubernetes/services.yaml,autoscaling/v2,False,False,8121,Resource,cpu,LARGE_YAML
kakashi3lite/AI-News,kakashi3lite,AI-News,mlops/kubernetes/services.yaml,autoscaling/v2,False,False,8121,Resource,memory,LARGE_YAML
kakashi3lite/AI-News,kakashi3lite,AI-News,mlops/kubernetes/services.yaml,autoscaling/v2,False,False,8121,Resource,cpu,LARGE_YAML
kakashi3lite/AI-News,kakashi3lite,AI-News,mlops/kubernetes/services.yaml,autoscaling/v2,False,False,8121,Resource,memory,LARGE_YAML
kakashi3lite/AI-News,kakashi3lite,AI-News,mlops/kubernetes/services.yaml,autoscaling/v2,False,False,8121,Resource,nvidia.com/gpu,LARGE_YAML
nagcloudlab/java-devsecops-batch3,nagcloudlab,java-devsecops-batch3,week4/2-k8s-lab/7-auto-scaling/hpa/nginx-hpa.yaml,autoscaling/v2,False,False,347,Resource,cpu,UNKNOWN
nagcloudlab/devops-with-kck,nagcloudlab,devops-with-kck,2-docker-k8s/lab/2-k8s-lab/7-auto-scaling/hpa/nginx-hpa.yaml,autoscaling/v2,False,False,347,Resource,cpu,UNKNOWN
aws-samples/sample-aws-do-nemo,aws-samples,sample-aws-do-nemo,to/kubernetes/template/040-hpa.yaml,autoscaling/v2beta2,False,False,808,Resource,cpu,UNKNOWN
