Owner,Project,File Path,apiVersion,Is Helm Template,raw_length
lsst-ts,LOVE-integration-tools,deploy/k8s/hpa-manager.yml,autoscaling/v1,False,257
monojit18,CaptureOrder,YAMLs/DEV/captureorder-hpa.yaml,autoscaling/v1,False,285
oncliff-climbing,EOF_Final,Kubernetes/app-deploy.yaml,autoscaling/v2,False,5857
oncliff-climbing,EOF_Final,Kubernetes/app-deploy.yaml,autoscaling/v2,False,5857
BaekSeungYeol,k8s-native,kubernetes-manifests/base/cpu-utilisation/deploy-hpa.yaml,autoscaling/v2beta1,False,345
MamangRust,monolith-ecommerce-grpc,deployments/kubernetes/product-hpa.yaml,autoscaling/v2,False,375
TankChirag-1212,Devops_training,Day7/nodejs-advanced-k8s-project/kubernetes/hpa.yaml,autoscaling/v2beta2,False,1000
pmh-only,cocktail-bar,_cocktails/241212_globalarch_1/manifest/us/account.yml,autoscaling/v2,False,2437
danielpinto8zz6,BikeShare,BikeService/deployment.yaml,autoscaling/v2,False,1108
Om-ingle,Career-Compasss,gke-cost-optimized.yaml,autoscaling/v2,False,4502
Om-ingle,Career-Compasss,gke-cost-optimized.yaml,autoscaling/v2,False,4502
Roma-uuu,codeby-devops,lesson23/hpa-wordpress.yaml,autoscaling/v2,False,385
imanabr77,K8s-php,manifest/php-app/production-best-practices/hpa.yml,autoscaling/v2,False,340
msfidelis,istio-disaster-recovery,talk-linuxtips/02-retry-connection/orders-api.yaml,autoscaling/v2beta2,False,3835
iamqiss,T3SS,infrastructure/kubernetes/auth-service-deployment.yaml,autoscaling/v2,False,6525
mmorejon,once-upon-a-time-k8s,hpa/hpa.yaml,autoscaling/v1,False,303
