Owner,Project,File Path,apiVersion,Is Helm Template,raw_length
nk10nikhil,youtube-clone,Deploy/kubernetes/video-processor-application/base/hpa.yml,autoscaling/v2,False,476
SandeepRDiddi,RL-Jan2026-Batch,13Feb2026/files/retail_rl_optimization/k8s-deployment.yaml,autoscaling/v2,False,8640
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/mem-80/hpa-checkoutservice-mem-80.yaml,autoscaling/v2,False,435
laurobmb,flask_s3_upload,deploy_on_k8s/overlays/flask/hpa.yaml,autoscaling/v1,False,347
CyberAgent,intelligent-hpa,tools/loadsim/loadsim.yaml,autoscaling/v2beta2,False,9050
erickdsama,testzeb,k8s/autoscaler.yaml,autoscaling/v2beta2,False,734
nikhilsalgaonkar,k8s-projects,hpa.yaml,autoscaling/v2,False,380
shsorot,Scalable_LLM_Inference_on_Azure_AKS,k8s/10-webui-hpa.yaml,autoscaling/v2,False,1730
Vizzuality,half-earth,k8s/production/hpa.yaml,autoscaling/v1,False,265
XxxGHOSTX,Thalos-Prime-Directive2,k8s/hpa.yaml,autoscaling/v2,False,495
wewew2634-pixel,agent-zz,k8s/hpa.yml,autoscaling/v2,False,1286
qist,k8s,k8s-yaml/custom-prometheus/prometheus-adapter/test/hpa-coredns.yaml,autoscaling/v2,False,1239
C0rporeus,lab-observability-apps,micro-3/deployment.yaml,autoscaling/v2,False,1779
CHANDARA-code,vsp-youtube-clone-microservices,Deploy/kubernetes/video-processor-application/base/hpa.yml,autoscaling/v2,False,476
nevzatgul,jitsi-cluster,overlays/production/shard-0/jvb-hpa-patch.yaml,autoscaling/v2beta2,False,181
Nefnief-tech,lume-algo-sesh,k8s/hpa.yaml,autoscaling/v2,False,832
juazasan,akslab,lab1-nginx-ingress/ratings-api-hpa.yaml,autoscaling/v2beta2,False,348
ripta,hotpod,manifests/overlays/hpa-container/hpa.yaml,autoscaling/v2,False,416
yash23082007,live-stock-chain,infrastructure/k8s/api-deployment.yaml,autoscaling/v2,False,1673
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-40-mem-40/hpa-redis-cart-cpu-40-mem-40.yaml,autoscaling/v2,False,592
jashmhta,hms-enterprise-grade,k8s/production/backend-deployment.yaml,autoscaling/v2,False,6028
lilianedng,MetaVi,Deploy/kubernetes/video-processor-application/base/hpa.yml,autoscaling/v2,False,476
fabrice78912,repo-k8s-config,overlays/dev/hpa-dev.yaml,autoscaling/v2,False,423
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-40-mem-80/hpa-recommendationservice-cpu-40-mem-80.yaml,autoscaling/v2,False,616
Omkarchaithanya,Kubernetes-Cluster-Setup-with-Auto-scaling,manifests/scaling/hpa-api-gateway.yaml,autoscaling/v2,False,835
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-40/hpa-checkoutservice-cpu-40.yaml,autoscaling/v2,False,432
rondayan42,knowledge_repo_devops,kubernetes/frontend/hpa.yaml,autoscaling/v2,False,551
LeoCavaille,k8s-workshop,assets/15-autoscaling/hpa.yaml,autoscaling/v2beta1,False,395
huyongywl,Kubernetes_Advanced_Practical_2rd,chapter15/hpa/metrics-app-hpa.yaml,autoscaling/v2beta2,False,441
Cytram,grpc-test,manifests/image-prcessor.yaml,autoscaling/v1,False,1193
MuhibNayem,FIS-Engine,deploy/k8s/hpa.yaml,autoscaling/v2,False,355
haitooo,keda_spikeTest,hpa/custom_hpa.yaml,autoscaling/v2,False,1170
gr8back,sqlecomm,deploy/complete/kubernetes/autoscaling/events-hpa.yaml,autoscaling/v2beta2,False,355
Perazzojoao,kubernetes,namespaces/postgres/hpa/postgres-hpa.yaml,autoscaling/v2,False,499
fillipe-felix,docker-composes,docs/exemplos-k8s/autoscaling/hpa/deploy.yaml,autoscaling/v2,False,2455
hernandavidc,Proyecto-MediSupply-E20,k8s/services/supplier-service/hpa-supplier-service.yaml,autoscaling/v2,False,956
iRubbish,k8s,chapter15/hpa/metrics-app-hpa.yaml,autoscaling/v2beta2,False,441
DZ-Bravo,Bravo,k8s/istio-system/bravo-istio-hpa.yaml,autoscaling/v2,False,891
apathy-ca,sark,k8s/base/frontend-hpa.yaml,autoscaling/v2,False,1154
vm-udayya,kubes8s,Advanced Kubernetes/scheduler/kubernetes/test/fixtures/pkg/kubectl/cmd/convert/v1HPA.yaml,autoscaling/v1,False,248
Siar-Akbayin,microservice-sample-online-shop,benchmark/baseline-old/constant-fluctuation/12-03-25_14-32_CPU=50_USERS=0-100-1_HOLD=MAX-2--MIN-2__RAMP-UP=2_RAMP-DOWN=2_REPEAT=10/tuned-runs/vm-12-03_19-24-MIN_USERS=0-HOLD_LOW=1-MAX_USERS=100-RAMP_UP_RATE=2-HOLD_MAX_FOR=2m-HOLD_MIN_FOR=2m-REPEAT=10-LOCUST_WORKERS=5/cartservice-hpa.yaml,autoscaling/v2,False,754
nextopsvideos,T32,Kubernetes/09_hpa/hpa.yaml,autoscaling/v2,False,362
VergeOps,k8s-rvstore,Advanced Kubernetes/scheduler/kubernetes/test/fixtures/pkg/kubectl/cmd/convert/v1HPA.yaml,autoscaling/v1,False,248
EhsanulHaqueSiam,BDNewsPaperScraper,kubernetes.yml,autoscaling/v2,False,6400
cxlcxl,go-zero-move,deploy/app-rpc.yaml,autoscaling/v2beta1,False,2257
charanbhatia,payment-gateway-ci-cd,k8s/deployment.yaml,autoscaling/v2,False,2004
avanade-br,demo-aks,03-hpa.yaml,autoscaling/v2beta2,False,390
MightyShashank,Code-Collab,backend/k8s-manifests/judge0/judge0-api-server/hpa.yaml,autoscaling/v2,False,420
o9nn,agi-os,core/cognition/llm/aphroditecho/echo.rkwv/infrastructure/kubernetes/base/cognitive-service.yaml,autoscaling/v2,False,3646
Riadh-Ammari,Agriculture-Monitoring-IoT-Platform---Kubernetes-Deployment,k8s/hpa.yaml,autoscaling/v2,False,1755
msfidelis,istio-disaster-recovery,istio/00-raw-workload/clients-api.yml,autoscaling/v2beta2,False,3435
ClaudiuBogdan,hack-for-facts-eb-client,k8s/base/hpa.yaml,autoscaling/v2,False,544
biprajit1999,mlops_assignment,deploy/k8s-hpa.yaml,autoscaling/v2,False,380
edvance-official,edvance-bk-mvp,k8s/production/api-server.yaml,autoscaling/v2,False,17411
