Owner,Project,File Path,Is Helm Template,apiVersion,ScaleTargetRef Kind,Has Behavior,Behavior ScaleUp StabilizationWindow,Behavior ScaleUp SelectPolicy,Behavior ScaleUp Policies,Behavior ScaleDown StabilizationWindow,Behavior ScaleDown SelectPolicy,Behavior ScaleDown Policies,MinReplicas,MaxReplicas,Metric Type,Metric Name,Target Kind,Target Value,ContainerResource Container
dotbalo,k8s,k8s-custom-hpa/podinfo/podinfo-hpa.yaml,False,autoscaling/v2beta1,Deployment,False,,,,,,,2,10,Resource,memory,,,
janindu333,saloon-service,k8s/hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,5,Resource,cpu,Utilization,70,
hong9lol,upstream_scaler,yaml/simple_server/simple_server_hpa2.yaml,False,autoscaling/v2,Deployment,False,,,,,,,5,10,Resource,cpu,Utilization,50,
luisrivas35,docker_k8_course,mypod.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,cpu,Utilization,50,
shri33,ML-Task-Scheduler,infra/k8s/ml-worker-deployment.yaml,False,autoscaling/v2,Deployment,True,30.0,,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 30}]",600,,"[{""type"": ""Percent"", ""value"": 25, ""periodSeconds"": 120}]",2,8,Resource,cpu,Utilization,60,
shri33,ML-Task-Scheduler,infra/k8s/ml-worker-deployment.yaml,False,autoscaling/v2,Deployment,True,30.0,,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 30}]",600,,"[{""type"": ""Percent"", ""value"": 25, ""periodSeconds"": 120}]",2,8,Resource,memory,Utilization,70,
juspay,hs-demo,k8s/client-hpa.yaml,False,autoscaling/v2,Deployment,True,60.0,,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 15}]",300,,"[{""type"": ""Percent"", ""value"": 10, ""periodSeconds"": 60}]",2,10,Resource,cpu,Utilization,70,
youngstunners88,MasterBuilder7,k8s/11-hpa.yml,False,autoscaling/v2,Deployment,True,60.0,Max,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 4, ""periodSeconds"": 60}]",300,Min,"[{""type"": ""Percent"", ""value"": 10, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 60}]",2,20,Resource,cpu,Utilization,70,
youngstunners88,MasterBuilder7,k8s/11-hpa.yml,False,autoscaling/v2,Deployment,True,60.0,Max,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 4, ""periodSeconds"": 60}]",300,Min,"[{""type"": ""Percent"", ""value"": 10, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 60}]",2,20,Resource,memory,Utilization,80,
youngstunners88,MasterBuilder7,k8s/11-hpa.yml,False,autoscaling/v2,Deployment,True,60.0,Max,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 4, ""periodSeconds"": 60}]",300,Min,"[{""type"": ""Percent"", ""value"": 10, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 60}]",2,20,Pods,http_requests_per_second,AverageValue,100.0,
youngstunners88,MasterBuilder7,k8s/11-hpa.yml,False,autoscaling/v2,Deployment,True,30.0,Max,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 30}, {""type"": ""Pods"", ""value"": 5, ""periodSeconds"": 30}]",300,Min,"[{""type"": ""Percent"", ""value"": 25, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 3, ""periodSeconds"": 60}]",2,20,Resource,cpu,Utilization,75,
youngstunners88,MasterBuilder7,k8s/11-hpa.yml,False,autoscaling/v2,Deployment,True,30.0,Max,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 30}, {""type"": ""Pods"", ""value"": 5, ""periodSeconds"": 30}]",300,Min,"[{""type"": ""Percent"", ""value"": 25, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 3, ""periodSeconds"": 60}]",2,20,Resource,memory,Utilization,80,
youngstunners88,MasterBuilder7,k8s/11-hpa.yml,False,autoscaling/v2,Deployment,True,30.0,Max,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 30}, {""type"": ""Pods"", ""value"": 5, ""periodSeconds"": 30}]",300,Min,"[{""type"": ""Percent"", ""value"": 25, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 3, ""periodSeconds"": 60}]",2,20,External,redis_queue_length,AverageValue,100.0,
youngstunners88,MasterBuilder7,k8s/11-hpa.yml,False,autoscaling/v2,Deployment,True,60.0,Max,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 3, ""periodSeconds"": 60}]",600,Min,"[{""type"": ""Percent"", ""value"": 10, ""periodSeconds"": 120}, {""type"": ""Pods"", ""value"": 1, ""periodSeconds"": 120}]",2,20,Resource,cpu,Utilization,70,
youngstunners88,MasterBuilder7,k8s/11-hpa.yml,False,autoscaling/v2,Deployment,True,60.0,Max,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 3, ""periodSeconds"": 60}]",600,Min,"[{""type"": ""Percent"", ""value"": 10, ""periodSeconds"": 120}, {""type"": ""Pods"", ""value"": 1, ""periodSeconds"": 120}]",2,20,Resource,memory,Utilization,75,
youngstunners88,MasterBuilder7,k8s/11-hpa.yml,False,autoscaling/v2,Deployment,True,60.0,Max,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 3, ""periodSeconds"": 60}]",600,Min,"[{""type"": ""Percent"", ""value"": 10, ""periodSeconds"": 120}, {""type"": ""Pods"", ""value"": 1, ""periodSeconds"": 120}]",2,20,External,redis_queue_length,AverageValue,50.0,
youngstunners88,MasterBuilder7,k8s/11-hpa.yml,False,autoscaling/v2,Deployment,True,120.0,Max,"[{""type"": ""Percent"", ""value"": 50, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 60}]",600,Min,"[{""type"": ""Percent"", ""value"": 25, ""periodSeconds"": 120}, {""type"": ""Pods"", ""value"": 1, ""periodSeconds"": 120}]",2,10,Resource,cpu,Utilization,80,
youngstunners88,MasterBuilder7,k8s/11-hpa.yml,False,autoscaling/v2,Deployment,True,120.0,Max,"[{""type"": ""Percent"", ""value"": 50, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 60}]",600,Min,"[{""type"": ""Percent"", ""value"": 25, ""periodSeconds"": 120}, {""type"": ""Pods"", ""value"": 1, ""periodSeconds"": 120}]",2,10,External,redis_queue_length,AverageValue,20.0,
teamdatatonic,acdm-summerschool-kubernetes,manifests/autoscale.yml,False,autoscaling/v1,Deployment,False,,,,,,,1,5,resource,cpu,Utilization,50.0,
xShuden,sca-db,deployments/k8s/vulnerability-api.yaml,False,autoscaling/v2,Deployment,False,,,,,,,3,10,Resource,cpu,Utilization,70,
xShuden,sca-db,deployments/k8s/vulnerability-api.yaml,False,autoscaling/v2,Deployment,False,,,,,,,3,10,Resource,memory,Utilization,80,
kobepaw,goop-shield-community,deploy/k8s/hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,10,Resource,cpu,Utilization,70,
2bcloud-task,2bcloud,hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,5,Resource,cpu,Utilization,50,
dstorey87,job-finder-app,k8s/05-ai.yaml,False,autoscaling/v2,Deployment,True,180.0,,"[{""type"": ""Percent"", ""value"": 50, ""periodSeconds"": 120}]",900,,"[{""type"": ""Percent"", ""value"": 25, ""periodSeconds"": 300}]",2,4,Resource,cpu,Utilization,70,
dstorey87,job-finder-app,k8s/05-ai.yaml,False,autoscaling/v2,Deployment,True,180.0,,"[{""type"": ""Percent"", ""value"": 50, ""periodSeconds"": 120}]",900,,"[{""type"": ""Percent"", ""value"": 25, ""periodSeconds"": 300}]",2,4,Resource,memory,Utilization,75,
Murilodev96,Burguer404.API-Servidor,k8s/hpa-db.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,3,Resource,cpu,Utilization,20,
udeope,Real-time-interview,k8s/production/frontend-deployment.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,6,Resource,cpu,Utilization,70,
udeope,Real-time-interview,k8s/production/frontend-deployment.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,6,Resource,memory,Utilization,80,
ec209,docker_kubernetes_practice,kubernetes-demo-master/hpa/hba-metrics.yml,False,autoscaling/v2beta1,Deployment,False,,,,,,,1,10,Resource,cpu,Utilization,50,
ec209,docker_kubernetes_practice,kubernetes-demo-master/hpa/hba-metrics.yml,False,autoscaling/v2beta1,Deployment,False,,,,,,,1,10,Pods,packets-per-second,,,
ec209,docker_kubernetes_practice,kubernetes-demo-master/hpa/hba-metrics.yml,False,autoscaling/v2beta1,Deployment,False,,,,,,,1,10,Object,requests-per-second,Value,10.0,
lijiannan828-oss,autoflow,k8s/deployments/video-gen-worker.yaml,False,autoscaling/v2,Deployment,True,60.0,,"[{""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 60}]",300,,"[{""type"": ""Pods"", ""value"": 1, ""periodSeconds"": 120}]",3,10,Resource,cpu,Utilization,60,
shubhamyadav8901,ecom-order-management-system,infra/k8s/base/nginx-gateway.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,6,Resource,cpu,Utilization,70,
ReV3rb698,Adv_Topics_Project_2,k8s-manifests.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,10,Resource,cpu,Utilization,50,
danlewismuriuki,shop-ecommerce,k8s/deployments/payment-service-rust.yml,False,autoscaling/v2,Deployment,False,,,,,,,1,4,Resource,cpu,Utilization,80,
syntasso,kratix-marketplace,knative/internal/configure-pipeline/dependencies/serving-core.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,20,Resource,cpu,Utilization,100,
syntasso,kratix-marketplace,knative/internal/configure-pipeline/dependencies/serving-core.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,5,Resource,cpu,Utilization,100,
nuncosta92,INSIS_22_23_ACME,Microservices/LoadBalancer/kubernets.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,3,Resource,cpu,Utilization,50,
AAkakarot,go-argo-app,k8s/hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,10,Resource,cpu,Utilization,80,
aigururaja,watersim-pro,Documents/watersim-pro/watersim_session16/k8s/backend.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,8,Resource,cpu,Utilization,65,
aigururaja,watersim-pro,Documents/watersim-pro/watersim_session16/k8s/backend.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,8,Resource,memory,Utilization,80,
corngang,TicketService_FastAPI_Streamlit,manifests/streamlit_hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,5,Resource,cpu,Utilization,50,
objectstack-ai,hotcrm,k8s/hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,10,Resource,cpu,Utilization,70,
objectstack-ai,hotcrm,k8s/hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,10,Resource,memory,Utilization,80,
businesswalrus,pupper,k8s/04-deployment-workers.yaml,False,autoscaling/v2,Deployment,True,60.0,,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 30}, {""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 60}]",300,,"[{""type"": ""Percent"", ""value"": 10, ""periodSeconds"": 60}]",2,10,Resource,cpu,Utilization,70,
businesswalrus,pupper,k8s/04-deployment-workers.yaml,False,autoscaling/v2,Deployment,True,60.0,,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 30}, {""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 60}]",300,,"[{""type"": ""Percent"", ""value"": 10, ""periodSeconds"": 60}]",2,10,Resource,memory,Utilization,80,
businesswalrus,pupper,k8s/04-deployment-workers.yaml,False,autoscaling/v2,Deployment,True,60.0,,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 30}, {""type"": ""Pods"", ""value"": 2, ""periodSeconds"": 60}]",300,,"[{""type"": ""Percent"", ""value"": 10, ""periodSeconds"": 60}]",2,10,Pods,bullmq_queue_waiting_jobs,AverageValue,50.0,
Valynt,ValueOS,infra/k8s/base/redis-streams.yaml,False,autoscaling/v2,Deployment,True,60.0,,"[{""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 60}, {""type"": ""Pods"", ""value"": 4, ""periodSeconds"": 60}]",300,,"[{""type"": ""Percent"", ""value"": 20, ""periodSeconds"": 60}]",2,12,External,message_worker_queue_depth,AverageValue,30,
